platform,track_name,album_artist_name,album_name,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,year,month,day,s_played
Windows,Band Camp,MisterWives,Connect The Dots,fwdbtn,fwdbtn,True,1.0,False,1675463531,2023,2,3,1.2
Android,over the rainbow,MisterWives,SUPERBLOOM,fwdbtn,fwdbtn,True,0.0,True,1653939248782,2022,5,30,1.575
Android,Conquístame,Santa RM,Bajo Cero,trackdone,trackdone,True,0.0,True,1653488886780,2022,5,25,305.946
Windows,Jingle Bell Rock -Spotify Singles Holiday,MisterWives,Jingle Bell Rock -Spotify Singles Holiday,fwdbtn,fwdbtn,True,1.0,False,0,2022,10,28,1.536
Android,"Fly Away - From ""MARVEL Future Fight""",Luna Snow,Fly Away,trackdone,trackdone,True,0.0,False,1667501740,2022,11,3,206.88
Android,FRIENDS,Marshmello,FRIENDS,trackdone,trackdone,True,0.0,False,1676635985,2023,2,17,202.62
Android,Dragon Ball Rap,Porta,En Boca De Tantos,fwdbtn,trackdone,True,0.0,False,1649606093347,2022,4,10,119.88
Windows,Good Day (feat. MisterWives and Curtis Roach),Jax Anderson,Good Day (feat. MisterWives and Curtis Roach),fwdbtn,fwdbtn,True,1.0,False,1666384304,2022,10,21,1.43
Android,Wishful Drinking,Tessa Violet,Bad Ideas,fwdbtn,fwdbtn,True,0.0,False,1647396682865,2022,3,16,1.136
Windows,Games,Tessa Violet,Games,trackdone,trackdone,True,0.0,False,1680294623,2023,3,31,221.051
Otros,Crush,Tessa Violet,Bad Ideas,trackdone,trackdone,False,0.0,False,0,2022,8,28,216.267
Android,La Locura Está en Mí (feat. Porta & Eneyser) - Remix,Santaflow,Ave Fénix,trackdone,trackdone,True,0.0,False,1667944004,2022,11,8,205.12
Android,Gangsta's Paradise,Coolio,Gangsta's Paradise,trackdone,trackdone,True,0.0,False,1673573513,2023,1,13,240.693
Android,Words Ain't Enough,Tessa Violet,Bad Ideas,trackdone,trackdone,True,0.0,True,1678112224,2023,3,6,124.365
Android,Palabras Mudas (Con Gema),Porta,Reset,trackdone,trackdone,True,0.0,True,1676657981,2023,2,17,284.186
Windows,Ride - Recorded at Spotify Studios NYC,MisterWives,Spotify Singles,trackdone,trackdone,True,0.0,False,0,2022,10,31,209.473
Windows,Inmortal,Porta,En Boca De Tantos,fwdbtn,fwdbtn,True,0.0,False,1652912217257,2022,5,18,0.74
Windows,I Wan'na Be Like You (The Monkey Song),Tessa Violet,Everybody Loves Disney,trackdone,trackdone,True,0.0,False,1676142679,2023,2,11,149.706
Android,Los Vengadores vs la Liga de la Justicia (Épicas Batallas de Rap del Frikismo),Keyblade,Los Vengadores vs la Liga de la Justicia (Épicas Batallas de Rap del Frikismo),trackdone,unexpected-exit-while-paused,True,0.0,False,1674491730,2023,1,23,101.235
Android,F.F.F. (feat. G-Eazy),Bebe Rexha,All Your Fault: Pt. 1,trackdone,trackdone,True,0.0,False,1651534777481,2022,5,2,202.4
Windows,rock bottom,MisterWives,SUPERBLOOM,fwdbtn,endplay,True,1.0,False,1674837720,2023,1,27,71.28
Windows,La Bella Y La Bestia (Con Norykko),Porta,Trastorno Bipolar,trackdone,fwdbtn,True,0.0,False,1659643887415,2022,8,4,19.307
Android,Oceans,MisterWives,Our Own House,trackdone,trackdone,True,0.0,True,1655941862952,2022,6,26,252.266
Android,Twisted Tongue,MisterWives,Twisted Tongue,trackdone,trackdone,True,0.0,False,1669571170,2022,11,27,202.093
Windows,I Like (the idea of) You,Tessa Violet,Bad Ideas,fwdbtn,trackdone,True,0.0,False,1659303923711,2022,7,31,168.48
Otros,Passing Afternoon,Iron & Wine,Our Endless Numbered Days,trackdone,trackdone,False,0.0,False,0,2022,9,18,241.213
Android,Entre Avenidas y Aceras,Porta,No Es Cuestión de Edades (Maqueta 2006),trackdone,fwdbtn,True,1.0,False,1667855268,2022,11,7,15.192
Windows,La Calle Sabe De Mi Nombre,C-Kan,Clasificacion C Vol.1,trackdone,trackdone,True,0.0,False,0,2022,10,26,222.178
Windows,Jura por Tu Dios,Santaflow,Ave Fénix,fwdbtn,fwdbtn,True,0.0,False,1658804583948,2022,7,26,26.45
Windows,Band Camp,MisterWives,Connect The Dots,trackdone,trackdone,True,0.0,False,1659303024165,2022,7,31,166.76
Windows,Mal Acostumbrados,Porta,Algo Ha Cambiado,fwdbtn,fwdbtn,True,0.0,False,1659922927217,2022,8,8,1.59
Windows,I'LL SHOW YOU,K/DA,ALL OUT,trackdone,trackdone,True,0.0,False,0,2022,10,30,198.423
Windows,Ain't My Fault,Zara Larsson,So Good,fwdbtn,fwdbtn,True,0.0,False,1648322841940,2022,3,26,2.08
Android,El 90% de Mí Eres Tu,Porta,No Hay Truco (Maqueta 2007),fwdbtn,fwdbtn,True,0.0,True,1653489733205,2022,5,25,2.012
Windows,Entre Avenidas y Aceras,Porta,No Es Cuestión de Edades (Maqueta 2006),fwdbtn,fwdbtn,True,1.0,False,0,2022,10,26,0.49
Windows,SUPERBLOOM,MisterWives,SUPERBLOOM,trackdone,trackdone,True,0.0,False,0,2022,6,7,213.323
Android,Say So,Doja Cat,Hot Pink,trackdone,trackdone,True,0.0,True,1655937669729,2022,6,26,237.893
Android,Chasing This,MisterWives,Connect The Dots,fwdbtn,fwdbtn,True,0.0,False,1653140526369,2022,5,21,0.746
Windows,Switch,Iggy Azalea,Switch,trackdone,trackdone,True,0.0,False,1649366279982,2022,4,7,189.6
Android,No Mediocre (feat. Iggy Azalea),T.I.,No Mediocre (feat. Iggy Azalea),fwdbtn,fwdbtn,True,1.0,False,1675009962,2023,1,29,1.699
Windows,Crush,Tessa Violet,Bad Ideas,fwdbtn,fwdbtn,True,1.0,False,1679754936,2023,3,25,0.81
Android,I Like (the idea of) You,Tessa Violet,Bad Ideas,trackdone,trackdone,True,0.0,False,1659403391822,2022,8,2,168.48
Android,Chasing This,MisterWives,Connect The Dots,fwdbtn,fwdbtn,False,0.0,False,1637719579404,2021,11,24,1.082
Windows,Mi Cuento de Hadas,Porta,No Es Cuestión de Edades (Maqueta 2006),fwdbtn,fwdbtn,True,0.0,False,1659317661035,2022,8,1,1.42
Android,Bang Bang,K'NAAN,Troubadour,trackdone,trackdone,True,0.0,False,1678710737,2023,3,13,186.533
Windows,En el 2000,Natalia Lafourcade,Natalia Lafourcade,trackdone,trackdone,False,0.0,False,1674411687,2023,1,22,215.0
Otros,No Hay Truco 1.5,Porta,Equilibrio,trackdone,endplay,True,0.0,False,0,2022,9,17,95.724
Android,El 90% de Mí Eres Tu,Porta,No Hay Truco (Maqueta 2007),fwdbtn,fwdbtn,True,0.0,True,1654714271509,2022,6,8,4.136
Android,Dream,Tessa Violet,Halloway,fwdbtn,fwdbtn,True,0.0,False,1653140305062,2022,5,21,1.274
Android,Tras el Cristal,Porta,Algo Ha Cambiado,fwdbtn,endplay,True,0.0,False,1659396564137,2022,8,1,47.127
Android,Revolution,MisterWives,Connect The Dots,trackdone,fwdbtn,True,0.0,True,1653936993934,2022,5,30,8.314
Windows,Lush Life,Zara Larsson,So Good,trackdone,trackdone,True,0.0,False,1659665992695,2022,8,5,201.122
Windows,Hablan De Mi,Melodico,Hablan De Mi,fwdbtn,trackdone,True,0.0,False,1648313300973,2022,3,26,179.987
Android,Breakdown,Tessa Violet,Breakdown,trackdone,trackdone,False,0.0,False,1661953228091,2022,8,31,218.228
Android,Bang Bang,K'NAAN,Troubadour,trackdone,trackdone,False,0.0,False,1660654540412,2022,8,16,186.533
Android,Volví,Aventura,Volví,fwdbtn,fwdbtn,True,0.0,False,1639242453633,2021,12,11,0.25
Otros,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Spider-Man: Into the Spider-Verse,trackdone,trackdone,True,0.0,False,0,2022,12,28,158.04
Android,POP/STARS,Seraphine,POP/STARS,trackdone,trackdone,True,0.0,False,1676642413,2023,2,17,160.5
Android,WOW,Zara Larsson,Poster Girl,trackdone,trackdone,True,0.0,True,1671982220,2022,12,25,179.091
Android,Gangsta's Paradise,Coolio,Gangsta's Paradise,fwdbtn,fwdbtn,True,1.0,True,1674491220,2023,1,23,44.485
Android,La Locura Está en Mí - Streaming Remaster,Santaflow,Ave Fénix,fwdbtn,fwdbtn,True,1.0,True,1678479070,2023,3,10,1.5
Android,Aire soy (feat. Ximena Sariñana),Miguel Bosé,Papitwo,trackdone,trackdone,True,0.0,False,1662164187178,2022,9,3,248.049
Android,Lush Life,Zara Larsson,So Good,trackdone,trackdone,True,0.0,False,1655049158255,2022,6,12,201.122
Windows,Dragon Ball Rap 1.5,Porta,Equilibrio,fwdbtn,fwdbtn,True,1.0,False,1676924607,2023,2,20,1.05
